book_id,copy_count,access_type_sample
B_06de9e459a4137,150,
B_06df85081a0feb,2,
B_06dfd6e8bae03d,1,
B_06e2d6f0218ca8,1,
B_06e32adb5dda68,1,
B_06e39df766932c,4,
B_06e71b299d4c6b,1,
B_06e7c17a613a1d,2,
B_06e8ff4f80b1c0,2,
B_06eb586685f7f7,1,
B_06ed9739ef8c56,1,
B_06ee56dd6a7e41,1,
B_06f2e5ac074a02,1,
B_06f417fe667bd0,1,
B_06f9bd1f1386e6,3,
B_06facaa8892852,1,
B_06fb5b09b7e5eb,2,
B_06fc41ea876df8,1,
B_06fcb97f7a821d,1,
B_06fcc351cb988a,1,
B_06fce5b82d040d,1,
B_06ff20fefcdaaa,2,
B_0701d83c4e696a,4,
B_0703ade393da70,1,
B_0704ed5ca06af8,2,
B_0705751b204c68,1,
B_0705eccc15f657,4,
B_0706fbd59c1fe0,1,
B_0708b527dbc4e0,2,
B_070959a6587475,1,
B_070b454cc72bca,1,
B_070da0edac9dec,2,
B_07117e17b1d773,2,
B_071687175e7473,1,
B_0718f6f2874df1,1,
B_071aef46559f43,2,
B_071cbb121d7d89,4,
B_071d37085c33b0,2,
B_071df86c49c39e,1,
B_07221b720400ac,1,
B_07221b9591f622,2,
B_072281e433f7a4,2,
B_0723a84f7ef6d4,1,
B_0726491259de92,6,
B_07283d8f39ced8,1,
B_0728694e4355b8,4,
B_07295d04a64c68,1,
B_072b0de2b5490c,2,
B_072c82e39fc352,1,
B_072d116ed86cdf,1,
B_072e0a6d8036bc,2,
B_0730ffcb280d1b,1,
B_073322f469e3e2,3,
B_0735d456005677,4,
B_073855db326f3f,10,
B_073b8bf37481fe,1,
B_073ee859198698,1,
B_0741de13f6bc02,1,
B_0744911b2d96a0,1,
B_0746ab5fed0844,1,
B_0749ca32bb6228,2,
B_074a96aae6ad65,2,
B_074b29e11af224,1,
B_074b89148c03fd,1,
B_074da2adb24315,2,
B_074f016fb8a6d7,1,Dapat dipinjam
